numero_processo;data_distribuicao;codarea_acao;data_atendimento;cod_cliente;cod_usuario;cod_parte_adversa;valor_causa;observacoes;data_encerramento;inclusao;objeto_acao;destino;codprognostico;codassunto;codlocaltramite;uf;codcomarca;statusprocessual;grupo_processo;codigo_fase;data_contratacao;pedido;data_transitojulgado;data_sentenca;data_execucao;migracao;cod_fase_processo;numero_pasta;numero_cnj;data_ultima_visualizacao
0012345-12.2024.1.12.0236;19/03/2015 00:00;Direito do Trabalho;;Fulano(a) 1203;301340;0;560540.9;;;11/12/2014 15:37;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;11/12/2014 00:00;;;;;;;633.0;;03/12/2021 17:22
0012345-12.2024.1.12.0237;;;;Fulano(a) 1348;347394;0;0.0;;;09/08/2019 09:23;;;;;;UF;;;;;;;;;;;;1932.0;;09/08/2019 09:23
0012345-12.2024.1.12.0238;14/11/2013 00:00;Direito do Trabalho;;Fulano(a) 1644;301340;0;540000.0;;;30/01/2013 09:59;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Conciliação;30/01/2013 00:00;;;;;;;202.0;;13/01/2022 13:05
0012345-12.2024.1.12.0239;27/01/2011 00:00;Direito do Trabalho;;Fulano(a) 1496;302720;0;21179.06;;;05/12/2012 11:26;Reclamatória Trabalhista;;;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Autor;Justiça do Trabalho;Conciliação;14/01/2011 00:00;;;;;;;165.0;;08/12/2021 14:09
0012345-12.2024.1.12.0240;;Direito Cível;;Fulano(a) 39;302720;0;0.0;;;17/01/2017 16:18;Cobrança;;Procedência Provável;Cobrança;Câmara Cível;MG;Belo Horizonte;Autor;Justiça Estadual;Instrução;;;;;;;;1071.0;;19/02/2021 15:31
0012345-12.2024.1.12.0241;28/07/2021 00:00;Direito do Trabalho;;Fulano(a) 1646;301340;0;33905.39;;;22/04/2021 16:48;Reclamatória Trabalhista;Mesa Recepção;Procedência Parcial Provável;Reconhecimento de Vínculo;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Conciliação;22/04/2021 00:00;RECONHECIMENTO DE VÍNCULO;;;;;;2478.0;;24/01/2022 18:17
0012345-12.2024.1.12.0242;12/04/2017 00:00;Direito Família;;Fulano(a) 1159;302720;0;5000.0;PRO BONO;;28/11/2016 15:53;Alimentos;Mesa Administração 01;Procedência Provável;Alimentos;Vara da Família e Sucessões;MG;Ipatinga;Autor;Justiça Estadual;Instrução;03/12/2016 00:00;PENSÃO ALIMENTICIA;;;;;;1045.0;;10/05/2021 15:51
0012345-12.2024.1.12.0243;;;;Fulano(a) 1589;347394;0;0.0;;;10/02/2021 10:10;;;;;;UF;;;;;;;;;;;;2402.0;;10/02/2021 10:10
0012345-12.2024.1.12.0244;;;;Fulano(a) 1276;347394;0;0.0;;;20/11/2019 11:36;;;;;;UF;;;;;;;;;;;;2066.0;;20/11/2019 11:36
0012345-12.2024.1.12.0245;;;;Fulano(a) 1329;347394;0;0.0;;;30/07/2019 17:39;;;;;;UF;;;;;;;;;;;;1913.0;;30/07/2019 17:39
0012345-12.2024.1.12.0246;;Direito Previdenciário;;Fulano(a) 389;301340;0;0.0;;;28/06/2018 10:11;Aposentadoria;Arquivo Morto;Procedência Provável;Aposentadoria por Tempo de Contribuição;Instituto Nacional de Seguro Social;MG;Ipatinga;Requerente;Extrajudicial;Arquivado;;APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO;;;;;;1516.0;;25/04/2019 14:53
0012345-12.2024.1.12.0247;;;;Fulano(a) 1471;347394;0;0.0;;;30/07/2019 17:29;;;;;;UF;;;;;;;;;;;;1912.0;;30/07/2019 17:29
0012345-12.2024.1.12.0248;;;;Fulano(a) 923;301340;0;0.0;;;25/09/2019 10:12;;;;;;;;;Justiça Federal;;;CUMPRIMENTO DE SENTENÇA;;;;;;2001.0;;21/06/2021 14:22
0012345-12.2024.1.12.0249;;;;Fulano(a) 1356;347394;0;0.0;;;03/10/2019 14:35;;;;;;UF;;;;;;;;;;;;2011.0;;03/10/2019 14:36
0012345-12.2024.1.12.0250;04/08/2017 00:00;Direito Cível;;Fulano(a) 205;559945;0;10000.0;;;14/08/2017 20:02;Indenização;Mesa Administração 02;Procedência Parcial Provável;Indenização;Turma Recursal;MG;Ipatinga;Recorrente;Justiça Estadual;Instrução;13/11/2015 00:00;;;;;;;1256.0;;20/09/2017 17:47
0012345-12.2024.1.12.0251;18/12/2013 00:00;Direito do Trabalho;;Fulano(a) 1615;301340;0;692559.52;;;27/01/2014 20:35;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;23/09/2013 00:00;;;;;;;393.0;;11/01/2019 15:35
0012345-12.2024.1.12.0252;26/11/2012 00:00;Direito Família;;Fulano(a) 983;301340;0;0.0;;;19/10/2012 18:32;Alvará Judicial;;Procedência Provável;Alvará Judicial;Vara da Família e Sucessões;MG;Ipatinga;Autor;Justiça Estadual;;19/10/2012 00:00;Alvará judicial sobre Seguro de Vida.;;;;;;133.0;;19/08/2021 17:57
0012345-12.2024.1.12.0253;;;;Fulano(a) 1244;347394;0;0.0;;;21/02/2019 17:39;;;;;;UF;;;;;;;;;;;;1729.0;;21/02/2019 17:39
0012345-12.2024.1.12.0254;29/09/2014 00:00;Direito do Trabalho;;Fulano(a) 159;301340;0;620977.92;;;01/09/2014 15:33;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;01/09/2014 00:00;;;;;;;573.0;;12/01/2022 20:17
0012345-12.2024.1.12.0255;;Direito do Trabalho;;Fulano(a) 1479;301340;0;0.0;;;29/01/2019 11:21;Reclamatória Trabalhista;;;;;;;;Justiça do Trabalho;;;VERBAS TRABALHISTAS;;;;;;1699.0;;28/09/2020 11:56
0012345-12.2024.1.12.0256;;;;Fulano(a) 1729;559945;0;0.0;;;13/09/2021 13:39;;;;;;UF;;;;;;;;;;;;2601.0;;13/09/2021 13:39
0012345-12.2024.1.12.0257;11/02/2014 00:00;Direito Previdenciário;;Fulano(a) 26;301340;0;50000.0;AÇÃO ORDINÁRIA;;09/08/2013 16:35;Aposentadoria;;Procedência Provável;Aposentadoria;Vara Federal;MG;Ipatinga;Impetrante;Justiça Federal;;09/08/2013 00:00;APOSENTADORIA ESPECIAL;;;;;;264.0;;27/01/2022 09:33
0012345-12.2024.1.12.0258;07/07/2014 00:00;Direito Previdenciário;;Fulano(a) 154;301340;0;0.0;;;15/05/2014 16:09;Revisional de benefício Previdenciário;;Procedência Provável;Teto INSS;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;;15/05/2014 00:00;Revisão pelo Teto;;;;;;495.0;;18/01/2019 16:01
0012345-12.2024.1.12.0259;;;;Fulano(a) 1617;347394;0;0.0;;;16/03/2021 15:27;;;;;;UF;;;;;;;;;;;;2437.0;;16/03/2021 15:27
0012345-12.2024.1.12.0260;26/02/2010 00:00;Direito Cível;;Fulano(a) 207;302720;0;0.0;;;28/08/2012 11:49;Cobrança;;;Cobrança;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Conciliação;10/02/2010 00:00;;;;;;;85.0;;17/02/2020 12:26
0012345-12.2024.1.12.0261;;;;Fulano(a) 383;347394;0;0.0;;;12/04/2019 11:14;;;;;;UF;;;;;;;;;;;;1789.0;;12/04/2019 11:14
0012345-12.2024.1.12.0262;09/03/2012 00:00;Direito Cível;;Fulano(a) 422;302720;0;12660.47;;;07/08/2012 10:09;Ação Monitória;;;Ação Monitória;1ª Vara Cível;MG;Ipatinga;Autor;Justiça Estadual;Conciliação;13/11/2011 00:00;;;;;;;42.0;;13/12/2021 16:48
0012345-12.2024.1.12.0263;12/09/2016 00:00;Direito do Trabalho;;Fulano(a) 1317;301340;0;18000.0;;;16/06/2016 09:45;Reclamatória Trabalhista;Mesa Administração 01;Procedência Provável;Retificação de PPP;Vara do Trabalho;;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;12/01/2016 00:00;RETIFICAÇÃO DE PPP;;;;;;948.0;;12/12/2019 11:11
0012345-12.2024.1.12.0264;08/07/2011 00:00;Direito Previdenciário;;Fulano(a) 434;302720;0;0.0;;;30/10/2012 12:56;Aposentadoria;;Procedência Provável;Aposentadoria;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Apelação;10/11/2011 00:00;;;;;;;142.0;;11/02/2022 09:49
0012345-12.2024.1.12.0265;;;;Fulano(a) 1210;301340;0;0.0;;;27/08/2019 16:48;;;;;;;;;Justiça Federal;;;CUMPRIMENTO DE SENTENÇA - MS a DIP;;;;;;1965.0;;08/12/2021 18:33
1,23451E+17;25/05/2018 00:00;Direito Cível;;Fulano(a) 987;559945;0;10000.0;;;29/05/2018 15:00;Indenização;Mesa Administração 02;Procedência Parcial Provável;Indenização;Turma Recursal;MG;Ipatinga;Autor;Justiça Estadual;Instrução;04/09/2017 00:00;INDENIZAÇÃO DANOS MORAIS / DECLARAÇÃO DE INEXISTENCIA DE DÉBITO COM PEDIDO DE ANTECIPAÇÃO DE TUTELA;;;;;;1486.0;0012345-12.2024.1.12.0266;13/09/2021 14:07
0012345-12.2024.1.12.0267;;;;Fulano(a) 1430;301340;0;0.0;;;02/09/2021 15:45;;;;;;;;;Justiça do Trabalho;;02/09/2021 00:00;;;;;;;2594.0;;01/02/2022 15:37
0012345-12.2024.1.12.0268;01/12/2021 00:00;Direito Cível;;Fulano(a) 1415;347394;0;1157.51;;;08/12/2021 17:07;Cumprimento de sentença;Mesa Recepção;Procedência Parcial Provável;Cumprimento de sentença;Juizado Especial Cível;MG;Ipatinga;Exequente;Justiça Estadual;Execução;;;;;;;;2679.0;;11/02/2022 09:40
0012345-12.2024.1.12.0269;;;;Fulano(a) 1293;347394;0;0.0;;;15/05/2019 09:38;;;;;;UF;;;;;;;;;;;;1832.0;;15/05/2019 09:38
0012345-12.2024.1.12.0270;02/05/2014 00:00;Direito do Trabalho;;Fulano(a) 918;302720;0;0.0;;;08/05/2014 13:24;Reclamatória Trabalhista;;Procedência Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;;22/01/2013 00:00;;;;;;;482.0;;18/11/2020 19:23
0012345-12.2024.1.12.0271;20/02/2018 00:00;Direito do Consumidor;;Fulano(a) 172;559945;0;461038.32;;;26/02/2018 13:35;Carta Precatória;Arquivo Morto;Procedência Parcial Provável;Erro Médico;Vara de precatórias cíveis;MG;Belo Horizonte;Autor;Justiça Estadual;Arquivado;;CARTA PRECATÓRIA;;;;;;1406.0;;27/11/2019 16:55
0012345-12.2024.1.12.0272;23/02/2011 00:00;Direito Família;;Fulano(a) 719;302720;0;3785.16;;;05/12/2012 14:24;Revisional de Alimentos;;;Revisional de Alimentos;Vara da Família e Sucessões;MG;Ipatinga;Autor;Justiça Estadual;Conciliação;13/12/2010 00:00;;;;;;;171.0;;30/01/2020 15:53
0012345-12.2024.1.12.0273;14/06/2021 00:00;Direito do Trabalho;;Fulano(a) 1735;301340;0;434263.72;TITO (AJUDANTE DE PEDREIRO DA CASA DA MONTANHA). FOI EMBORA PARA ESTADOS UNIDOS;;18/02/2021 19:41;Reclamatória Trabalhista;Mesa Recepção;Procedência Parcial Provável;Verbas Trabalhistas Diversas;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Conciliação;18/02/2021 00:00;TRABALHISTA USIMEC - VERBAS DIVERSAS;;;;;;2411.0;;11/02/2022 08:42
0012345-12.2024.1.12.0274;;;;Fulano(a) 1601;347394;0;0.0;;;08/03/2021 11:43;;;;;;UF;;;;;;;;;;;;2428.0;;08/03/2021 11:43
0012345-12.2024.1.12.0275;23/10/2018 00:00;Direito Família;;Fulano(a) 708;559945;0;0.0;;;29/10/2018 15:06;Agravo em recurso especial;Mesa Administração 02;Procedência Provável;Divórcio Litigioso;Turma - STJ;DF;Brasília;Agravante;Justiça Estadual;Instrução;;;;;;;;1648.0;;16/11/2020 11:00
0012345-12.2024.1.12.0276;;;;Fulano(a) 1321;301340;0;0.0;;;22/08/2019 11:41;;;;;;;;;Justiça do Trabalho;;;AÇÃO TRABALHISTA - COBRANÇA VERBAS RESCISÓRIAS DEVIDO MORTE DA EMPREGADA;;;;;;1950.0;;25/02/2021 10:11
0012345-12.2024.1.12.0277;;;;Fulano(a) 1370;347394;0;0.0;;;18/02/2020 09:22;;;;;;UF;;;;;;;;;;;;2126.0;;18/02/2020 09:22
0012345-12.2024.1.12.0278;05/02/2010 00:00;Direito Previdenciário;;Fulano(a) 102;302720;0;0.0;;;03/09/2012 16:43;Aposentadoria;;;Aposentadoria;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Conciliação;21/12/2009 00:00;;;;;;;98.0;;23/01/2018 09:17
0012345-12.2024.1.12.0279;;;;Fulano(a) 1561;301340;0;0.0;;;09/09/2013 16:31;;;;;;;;;;;;;;;;;;278.0;;31/07/2019 10:36
0012345-12.2024.1.12.0280;08/11/2017 00:00;Direito do Trabalho;;Fulano(a) 1490;301340;0;10000.0;;;26/10/2017 17:26;Reclamatória Trabalhista;Arquivo Morto;Procedência Parcial Provável;Retificação de PPP;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Arquivado;26/10/2017 00:00;REVISAO DE PPP - SANKYU;;;;;;1326.0;;20/04/2021 15:14
0012345-12.2024.1.12.0281;;;;Fulano(a) 973;301340;0;0.0;;;24/10/2018 09:37;;;;Expurgos do FGTS;;;;Requerente;Extrajudicial;;24/10/2018 00:00;PLANO COLLOR FGTS;;;;;;1642.0;;12/02/2019 11:53
0012345-12.2024.1.12.0282;;Direito Previdenciário;;Fulano(a) 973;301340;0;0.0;;;11/01/2018 12:09;Aposentadoria por Tempo de Contribuição;Arquivo Morto;Procedência Provável;Aposentadoria por Tempo de Contribuição;Instituto Nacional de Seguro Social;MG;Inhapim;Requerente;Administrativo;Arquivado;11/01/2018 00:00;APOSENTADORIA 85/95;;;;;;1382.0;;12/02/2019 11:54
0012345-12.2024.1.12.0283;;;;Fulano(a) 357;301340;0;0.0;;;21/05/2020 15:40;;;;;;UF;;;;;;;;;;;;2212.0;;
0012345-12.2024.1.12.0284;;;;Fulano(a) 1675;347394;0;0.0;;;06/11/2019 17:27;;;;;;UF;;;;;;;;;;;;2048.0;;06/11/2019 17:27
0012345-12.2024.1.12.0285;;;;Fulano(a) 1464;347394;0;0.0;;;31/01/2020 09:46;;;;;;UF;;;;;;;;;;;;2113.0;;31/01/2020 09:46
0012345-12.2024.1.12.0286;;Direito Cível;;Fulano(a) 442;301340;0;0.0;;;26/01/2016 17:47;Cobrança;Mesa Administração 01;Procedência Provável;Cobrança de FGTS;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;26/01/2016 00:00;;;;;;;878.0;;06/07/2021 15:03
0012345-12.2024.1.12.0287;10/11/2017 00:00;Direito do Trabalho;;Fulano(a) 986;301340;0;100000.0;;;18/10/2017 12:25;Reclamatória Trabalhista;Mesa Administração 02;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;18/10/2017 00:00;TRABALHISTA USIMINAS;;;;;;1314.0;;27/08/2019 17:56
0012345-12.2024.1.12.0288;;;;Fulano(a) 401;347394;0;0.0;;;21/05/2020 15:46;;;;;;UF;;;;;;;;;;;;2213.0;;21/05/2020 15:46
0012345-12.2024.1.12.0289;;;;Fulano(a) 1341;347394;0;0.0;;;29/08/2019 11:05;;;;;;UF;;;;;;;;;;;;1971.0;;29/08/2019 11:05
0012345-12.2024.1.12.0290;25/05/2020 00:00;Direito Previdenciário;;Fulano(a) 1220;301340;0;72277.84;;;26/09/2019 17:21;Ação Previdenciaria;Mesa Recepção;Procedência Provável;Aposentadoria Especial;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Conciliação;26/09/2019 00:00;APOSENTADORIA ESPECIAL;;;;;;2005.0;;01/02/2022 14:50
0012345-12.2024.1.12.0291;;Direito Cível;;Fulano(a) 63;302720;0;0.0;;;14/12/2012 10:47;Reparação de danos materiais e morais;;;Reparação de Danos;Juizado Especial Cível;MG;Ipatinga;Réu;Justiça Estadual;Conciliação;18/02/2011 00:00;;;;;;;183.0;;31/01/2020 09:54
0012345-12.2024.1.12.0292;15/04/2016 00:00;Direito Família;;Fulano(a) 696;302720;0;5000.0;;;23/02/2016 14:34;Divórcio Litigioso;Mesa Administração 01;Procedência Provável;Divórcio Consensual;Vara da Família e Sucessões;MG;Ipatinga;Autor;Justiça Estadual;Instrução;15/03/2016 00:00;;;;;;;899.0;;04/02/2020 13:27
0012345-12.2024.1.12.0293;;;;Fulano(a) 462;347394;0;0.0;;;18/05/2020 10:05;;;;;;UF;;;;;;;;;;;;2199.0;;18/05/2020 10:05
0012345-12.2024.1.12.0294;;;;Fulano(a) 139;347394;0;0.0;;;29/10/2019 11:43;;;;;;UF;;;;;;;;;;;;2037.0;;29/10/2019 11:43
0012345-12.2024.1.12.0295;;;;Fulano(a) 1415;559945;0;0.0;;;20/07/2020 14:16;;;;;;UF;;;;;;;;;;;;2262.0;;08/12/2021 17:05
0012345-12.2024.1.12.0296;26/03/2015 00:00;Direito Cível;;Fulano(a) 1336;347394;0;15000.0;;;30/01/2015 18:34;Indenização;Arquivo Morto;Procedência Parcial Provável;Indenização;Juizado Especial Cível;MG;Ipatinga;Autor;Justiça Estadual;Arquivado;30/01/2015 00:00;;;;;;;657.0;;04/05/2021 17:14
0012345-12.2024.1.12.0297;;;;Fulano(a) 581;347394;0;0.0;;;22/03/2019 15:45;;;;;;UF;;;;;;;;;;;;1760.0;;22/03/2019 15:45
0012345-12.2024.1.12.0298;;Direito Família;;Fulano(a) 621;559945;0;0.0;;;20/09/2018 13:59;Partilha;Mesa Administração 02;;Carta precatória;vara cível;MG;Carangola;Requerente;Justiça Estadual;Instrução;;CARTA PRECATÓRIA;;;;;;1616.0;;04/11/2019 18:26
0012345-12.2024.1.12.0299;;;;Fulano(a) 1623;347394;0;0.0;;;08/04/2021 13:57;;;;;;UF;;;;;;;;;;;;2466.0;;08/04/2021 13:57
0012345-12.2024.1.12.0300;10/02/2015 00:00;Direito Previdenciário;;Fulano(a) 1731;301340;0;55965.0;;;17/09/2014 17:02;Aposentadoria;;Procedência Parcial Provável;Aposentadoria Especial;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;17/09/2014 00:00;;;;;;;583.0;;29/12/2021 17:23
0012345-12.2024.1.12.0301;;;;Fulano(a) 961;347394;0;0.0;;;26/12/2018 10:55;;;;;;UF;;;;;;;;;;;;1688.0;;26/12/2018 10:55
0012345-12.2024.1.12.0302;23/10/2015 00:00;Direito Previdenciário;;Fulano(a) 1275;301340;0;62632.23;"Indicado pelo Geronimo
SENHA ATUAL DO MEU INSS: 0Escritorio0";;20/11/2014 11:08;Aposentadoria;Mesa Administração 01;Procedência Provável;Aposentadoria Especial;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;20/11/2014 00:00;;;;;;;624.0;;29/03/2021 09:14
0012345-12.2024.1.12.0303;;;;Fulano(a) 721;347394;0;0.0;;;04/07/2019 11:51;;;;;;UF;;;;;;;;;;;;1872.0;;04/07/2019 11:51
0012345-12.2024.1.12.0304;;;;Fulano(a) 1798;347394;0;0.0;;;13/12/2021 18:37;;;;;;UF;;;;;;;;;;;;2681.0;;13/12/2021 18:37
0012345-12.2024.1.12.0305;06/06/2018 00:00;Direito Previdenciário;;Fulano(a) 1218;301340;0;95380.85;;;30/08/2017 15:37;Aposentadoria;Mesa Administração 02;Procedência Parcial Provável;Aposentadoria Especial;Vara Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;30/08/2017 00:00;APOSENTADORIA ESPECIAL;;;;;;1275.0;;02/09/2021 16:17
0012345-12.2024.1.12.0306;04/04/2016 00:00;Direito Cível;;Fulano(a) 442;301340;0;1000.0;;;30/10/2015 17:34;Cobrança;Mesa Administração 01;Procedência Provável;Cobrança de FGTS;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;30/10/2015 00:00;PLANO COLLOR;;;;;;825.0;;11/03/2019 16:26
0012345-12.2024.1.12.0307;;;;Fulano(a) 1156;347394;0;0.0;;;12/02/2019 14:11;;;;;;UF;;;;;;;;;;;;1721.0;;12/02/2019 14:11
0012345-12.2024.1.12.0308;06/09/2017 00:00;Direito Cível;;Fulano(a) 106;559945;0;10000.0;;;11/09/2017 19:00;Indenização;Mesa Administração 02;Procedência Provável;Indenização;Turma Recursal;MG;Ipatinga;Recorrente;Justiça Estadual;Instrução;04/08/2016 00:00;AÇÃO INDENIZATÓRIA C/C DECLARAÇÃO DE INEXISTÊNCIA DE DÉBITO COM PEDIDO DE ANTECIPAÇÃO;;;;;;1287.0;;09/08/2021 07:55
0012345-12.2024.1.12.0309;;;;Fulano(a) 824;347394;0;0.0;;;03/04/2019 10:30;;;;;;UF;;;;;;;;;;;;1769.0;;03/04/2019 10:30
0012345-12.2024.1.12.0310;29/09/2014 00:00;Direito do Trabalho;;Fulano(a) 797;301340;0;740326.5;;;29/08/2014 14:26;Reclamatória Trabalhista;;Procedência Parcial Provável;Reclamatória Trabalhista;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;29/08/2014 00:00;;;;;;;568.0;;27/01/2021 09:35
0012345-12.2024.1.12.0311;05/10/2015 00:00;Direito Cível;;Fulano(a) 1336;302720;0;15000.0;;;13/10/2015 15:32;Indenização;Mesa Administração 01;Procedência Provável;Indenização;Turma Recursal;MG;Ipatinga;Recorrente;Justiça Estadual;Instrução;30/01/2015 00:00;;;;;;;813.0;;14/01/2019 15:03
0012345-12.2024.1.12.0312;;;;Fulano(a) 1187;347394;0;0.0;;;25/09/2019 09:31;;;;;;UF;;;;;;;;;;;;2000.0;;25/09/2019 09:31
0012345-12.2024.1.12.0313;;;;Fulano(a) 1761;347394;0;0.0;;;13/11/2018 10:12;;;;;;UF;;;;;;;;;;;;1656.0;;13/11/2018 10:12
0012345-12.2024.1.12.0314;;;;Fulano(a) 1085;347394;0;0.0;;;04/07/2019 15:50;;;;;;UF;;;;;;;;;;;;1873.0;;04/07/2019 15:50
0012345-12.2024.1.12.0315;;;;Fulano(a) 692;301340;0;0.0;;;09/05/2018 15:01;;;;;;;;;Justiça Estadual;;09/05/2018 00:00;EMPRESTIMO NÃO REALIZADO - DESCONTO INDEVIDO NO BENEFÍCIO - BANCO ITAU;;;;;;1464.0;;16/04/2019 12:10
0012345-12.2024.1.12.0316;;;;Fulano(a) 692;301340;0;0.0;;;09/05/2018 14:59;;;;;;;;;Justiça Estadual;;09/05/2018 00:00;JUROS ABUSIVOS - DACASA;;;;;;1463.0;;16/04/2019 12:10
0012345-12.2024.1.12.0317;17/07/2014 00:00;Direito Família;;Fulano(a) 655;301340;0;0.0;;;07/06/2013 19:25;Restabelecimento da Sociedade Conjugal;;Procedência Provável;Restabelecimento da Sociedade Conjugal;Vara da Família e Sucessões;MG;Ipatinga;Requerente;Justiça Estadual;;07/06/2013 00:00;Restabelecimento da Sociedade Conjugal e consequente cancelamento da separação judicial;;;;;;236.0;;02/03/2020 13:35
0012345-12.2024.1.12.0318;;;;Fulano(a) 1315;347394;0;0.0;;;13/11/2018 17:09;;;;;;UF;;;;;;;;;;;;1657.0;;13/11/2018 17:09
0012345-12.2024.1.12.0319;;;;Fulano(a) 895;347394;0;0.0;;;04/07/2019 16:23;;;;;;UF;;;;;;;;;;;;1874.0;;04/07/2019 16:23
0012345-12.2024.1.12.0320;;;;Fulano(a) 1262;347394;0;0.0;;;30/05/2019 09:12;;;;;;UF;;;;;;;;;;;;1845.0;;30/05/2019 09:12
0012345-12.2024.1.12.0321;10/11/2014 00:00;Direito Cível;;Fulano(a) 1073;301340;0;30000.0;;;15/05/2014 14:27;Indenização;;Procedência Parcial Provável;Indenização;Juizado Especial Federal;MG;Ipatinga;Autor;Justiça Federal;Instrução;15/05/2014 00:00;;;;;;;492.0;;08/07/2019 15:00
0012345-12.2024.1.12.0322;;;;Fulano(a) 1298;347394;0;0.0;;;23/05/2019 09:12;;;;;;UF;;;;;;;;;;;;1840.0;;23/05/2019 09:12
0012345-12.2024.1.12.0323;;;;Fulano(a) 358;347394;0;0.0;;;14/11/2018 11:07;;;;;;UF;;;;;;;;;;;;1659.0;;14/11/2018 11:07
0012345-12.2024.1.12.0324;;;;Fulano(a) 357;347394;0;0.0;;;21/05/2020 14:55;;;;;;UF;;;;;;;;;;;;2210.0;;21/05/2020 14:55
0012345-12.2024.1.12.0325;;;;Fulano(a) 1611;347394;0;0.0;;;30/05/2019 09:35;;;;;;UF;;;;;;;;;;;;1846.0;;30/05/2019 09:35
0012345-12.2024.1.12.0326;;;;Fulano(a) 1138;347394;0;0.0;;;04/07/2019 17:40;;;;;;UF;;;;;;;;;;;;1876.0;;04/07/2019 17:40
0012345-12.2024.1.12.0327;08/08/2017 00:00;Direito do Trabalho;;Fulano(a) 1484;301340;0;5000.0;;;29/09/2016 15:28;Reclamatória Trabalhista;Mesa Administração 02;Procedência Provável;Retificação de PPP;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Instrução;29/09/2016 00:00;;;;;;;1010.0;;17/07/2018 15:17
0012345-12.2024.1.12.0328;;;;Fulano(a) 451;347394;0;0.0;;;04/07/2019 17:55;;;;;;UF;;;;;;;;;;;;1877.0;;04/07/2019 17:55
0012345-12.2024.1.12.0329;12/09/2016 00:00;Direito do Trabalho;;Fulano(a) 1214;301340;0;18000.0;;;04/05/2016 17:26;Reclamatória Trabalhista;Mesa Administração 01;Procedência Provável;Retificação de PPP;Vara do Trabalho;MG;Coronel Fabriciano;Reclamante;Justiça do Trabalho;Arquivado;04/05/2016 00:00;RETIFICAÇÃO DE PPP;;;;;;933.0;;26/10/2020 12:05
0012345-12.2024.1.12.0330;;;;Fulano(a) 1204;347394;0;0.0;;;19/11/2018 11:28;;;;;;UF;;;;;;;;;;;;1662.0;;19/11/2018 11:28
0012345-12.2024.1.12.0331;;;;Fulano(a) 1205;347394;0;0.0;;;19/11/2018 11:35;;;;;;UF;;;;;;;;;;;;1663.0;;19/11/2018 11:35
0012345-12.2024.1.12.0332;21/05/2019 00:00;Direito Previdenciário;;Fulano(a) 1273;559945;0;0.0;;;16/08/2019 11:17;RPV - Requisição de Pequeno Valor;Mesa Recepção;Procedência Parcial Provável;Aposentadoria Especial;Tribunal Regional Federal;DF;Brasília;Exequente;Justiça Federal;Instrução;;;;;;;;1942.0;;05/10/2020 16:48
0012345-12.2024.1.12.0333;;Direito Previdenciário;;Fulano(a) 1176;301340;0;0.0;;;26/11/2013 18:05;Aposentadoria por Tempo de Contribuição;;Procedência Provável;Aposentadoria;;MG;Ipatinga;Autor;Justiça Federal;;26/11/2013 00:00;APOSENTADORIA POR TEMPO DE CONTRIBUIÇÃO;;;;;;349.0;;18/11/2021 14:40
0012345-12.2024.1.12.0334;25/06/2018 00:00;Direito Família;;Fulano(a) 1207;559945;0;0.0;;;28/06/2018 17:58;Justiça Gratuita;Mesa Administração 02;;Justiça Gratuita;Câmara Cível;MG;Belo Horizonte;Agravante;Justiça Estadual;Instrução;;;;;;;;1530.0;;29/11/2018 09:16
